,comm_2
1573,1015796919891787776
1574,1228570076
1575,585269123
1576,1166859640774299648
1577,988479168
1578,38481918
1579,826835056043892738
1580,1162179788414574593
1581,4198030162
1582,2803749301
1583,877656712853032960
1584,4564550495
1585,3084877168
1586,1345270418
1587,2233329533
1588,1338624531880157187
1589,843945090
1590,569865097
1591,2282658240
1592,4181752647
1593,1228663487481643009
1594,1206511993051648000
1595,1174751241295060992
1596,1364128740
1597,1304802308430192641
1598,3027753738
1599,708027252
1600,2271063313
1601,581972927
1602,2520355542
1603,785607608
1604,833039515895943169
1605,4198127633
1606,847643932796215297
1607,1363363334
1608,27570567
1609,724884876
1610,1231064317161852928
1611,1594525345
1612,4600305497
1613,961096319455715328
1614,1014168170662375424
1615,1224338802593927170
1616,52243385
1617,1075430226824519680
1618,903240108828221440
1619,180912921
1620,979750171348291584
1621,256113276
1622,168501949
1623,1145000016177766400
1624,618650280
1625,183249989
1626,1283113007472672768
1627,873644258
1628,2532917165
1629,1104901428588486657
1630,2766869051
1631,2465028480
1632,3245522651
1633,166378538
1634,565191963
1635,766327001661800448
1636,993887238
1637,179992566
1638,4188531730
1639,181913714
1640,2155930008
1641,1212409041432891393
1642,1264668440964542465
1643,1029646003
1644,3423327995
1645,533882044
1646,1191142063376613376
1647,547450893
1648,3075144796
1649,1179734683120209921
1650,1256987219719585792
1651,4895545481
1652,3983639621
1653,153792131
1654,2832772595
1655,2985850271
1656,1343571362275844105
1657,190032895
1658,3109545658
1659,3310367745
1660,142660444
1661,132310915
1662,174416954
1663,844660166276628480
1664,1382839652
1665,861545786
1666,1275619007853465600
1667,176590617
1668,2573104218
1669,22983377
1670,144734205
1671,1174074991303974916
1672,4659596247
1673,1228379383372668928
1674,2644816972
1675,1261780918060101640
1676,256483447
1677,4328905701
1678,1346497737748078594
1679,254784464
1680,2715611958
1681,704508268861853696
1682,1147145350291099651
1683,3656033021
1684,1355322732444061700
1685,1370305862183624705
1686,1003640536987824133
1687,802963278
1688,1138550616576462848
1689,1190344426918420480
1690,80194497
1691,4906808128
1692,3296860216
1693,1285408111063379973
1694,1322786581854507008
1695,564661890
1696,1034420207954157569
1697,265151484
1698,1344153944
1699,919990254802800645
1700,834064700023402496
1701,1211418583986663425
1702,496358067
1703,1260752961921318912
1704,1320466800509857794
1705,509321609
1706,156476638
1707,870290237800550400
1708,713483661367189509
1709,217991891
1710,130334310
1711,3342116337
1712,184518331
1713,211531918
1714,950044572981366786
1715,3075862703
1716,1414519410
1717,3339678975
1718,214095125
1719,146981107
1720,61546242
1721,1965935706
1722,1266239571315920900
1723,22046805
1724,2615409699
1725,2203948624
1726,1351719677072912386
1727,248265858
1728,1137811154837938176
1729,1268299521219391488
